session_id,source_folder,setting,block_id,trial_id,condition,stimulus_orientation,response_key,correct,stimulus_onset_timestamp,response_timestamp,reaction_time_ms,rt_between_100_and_1500,trial_interval_start,trial_interval_end,temporal_alignment_verified,corresponding_facial_record_count,rq1_qualified_trial,exclusion_reason
45f6e5c7-6868-44dd-b300-fe5f48daa7c8,data2,Laboratory,4,8,CHALLENGE,LEFT,J_or_right_click,False,,,2073.0,False,,,not_verifiable,,not_verifiable,rt_and_alignment_failed
45f6e5c7-6868-44dd-b300-fe5f48daa7c8,data2,Laboratory,4,9,CHALLENGE,RIGHT,J_or_right_click,True,,,1314.0,True,,,not_verifiable,,not_verifiable,temporal_alignment_not_verified
45f6e5c7-6868-44dd-b300-fe5f48daa7c8,data2,Laboratory,5,0,NEUTRAL,LEFT,F_or_left_click,True,,,1184.0,True,,,not_verifiable,,not_verifiable,temporal_alignment_not_verified
45f6e5c7-6868-44dd-b300-fe5f48daa7c8,data2,Laboratory,5,1,NEUTRAL,RIGHT,J_or_right_click,True,,,1724.0,False,,,not_verifiable,,not_verifiable,rt_and_alignment_failed
45f6e5c7-6868-44dd-b300-fe5f48daa7c8,data2,Laboratory,5,2,NEUTRAL,RIGHT,F_or_left_click,False,,,1786.0,False,,,not_verifiable,,not_verifiable,rt_and_alignment_failed
45f6e5c7-6868-44dd-b300-fe5f48daa7c8,data2,Laboratory,5,3,NEUTRAL,RIGHT,J_or_right_click,True,,,1801.0,False,,,not_verifiable,,not_verifiable,rt_and_alignment_failed
45f6e5c7-6868-44dd-b300-fe5f48daa7c8,data2,Laboratory,5,4,NEUTRAL,RIGHT,J_or_right_click,True,,,1025.0,True,,,not_verifiable,,not_verifiable,temporal_alignment_not_verified
45f6e5c7-6868-44dd-b300-fe5f48daa7c8,data2,Laboratory,5,5,NEUTRAL,RIGHT,J_or_right_click,True,,,765.0,True,,,not_verifiable,,not_verifiable,temporal_alignment_not_verified
45f6e5c7-6868-44dd-b300-fe5f48daa7c8,data2,Laboratory,5,6,NEUTRAL,LEFT,F_or_left_click,True,,,1505.0,False,,,not_verifiable,,not_verifiable,rt_and_alignment_failed
45f6e5c7-6868-44dd-b300-fe5f48daa7c8,data2,Laboratory,5,7,NEUTRAL,LEFT,F_or_left_click,True,,,777.0,True,,,not_verifiable,,not_verifiable,temporal_alignment_not_verified
45f6e5c7-6868-44dd-b300-fe5f48daa7c8,data2,Laboratory,5,8,NEUTRAL,RIGHT,J_or_right_click,True,,,808.0,True,,,not_verifiable,,not_verifiable,temporal_alignment_not_verified
45f6e5c7-6868-44dd-b300-fe5f48daa7c8,data2,Laboratory,5,9,NEUTRAL,LEFT,J_or_right_click,False,,,763.0,True,,,not_verifiable,,not_verifiable,temporal_alignment_not_verified
45f6e5c7-6868-44dd-b300-fe5f48daa7c8,data3,Laboratory,0,0,NEUTRAL,LEFT,F_or_left_click,True,,,1275.0,True,,,not_verifiable,,not_verifiable,temporal_alignment_not_verified
45f6e5c7-6868-44dd-b300-fe5f48daa7c8,data3,Laboratory,0,1,NEUTRAL,RIGHT,J_or_right_click,True,,,865.0,True,,,not_verifiable,,not_verifiable,temporal_alignment_not_verified
45f6e5c7-6868-44dd-b300-fe5f48daa7c8,data3,Laboratory,0,2,NEUTRAL,RIGHT,J_or_right_click,True,,,480.0,True,,,not_verifiable,,not_verifiable,temporal_alignment_not_verified
45f6e5c7-6868-44dd-b300-fe5f48daa7c8,data3,Laboratory,0,3,NEUTRAL,LEFT,J_or_right_click,False,,,473.0,True,,,not_verifiable,,not_verifiable,temporal_alignment_not_verified
45f6e5c7-6868-44dd-b300-fe5f48daa7c8,data3,Laboratory,0,4,NEUTRAL,LEFT,F_or_left_click,True,,,473.0,True,,,not_verifiable,,not_verifiable,temporal_alignment_not_verified
